contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,spotPrice,fetchTime,midPrice,spread,spreadPct,marketPrice,daysToExpiry,timeToExpiry,moneyness,isITM,riskFreeRate
SPY260316C00640000,2026-03-10 16:14:33+00:00,640.0,41.25,39.05,39.67,9.67,30.620646,12.0,16,0.3791565991210937,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,39.36,0.6200000000000045,0.01575203252032532,39.36,5,0.0136986301369863,0.9450958488468187,True,0.05
SPY260316C00645000,2026-03-10 16:42:59+00:00,645.0,37.31,34.34,34.92,13.590002,57.293434,49.0,50,0.3541934698486327,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,34.63,0.5799999999999983,0.016748483973433387,34.63,5,0.0136986301369863,0.9524794101659345,True,0.05
SPY260316C00649000,2026-03-06 20:48:33+00:00,649.0,28.4,30.57,31.15,0.0,0.0,12.0,14,0.3338079315185547,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,30.86,0.5799999999999983,0.018794556059624053,30.86,5,0.0136986301369863,0.9583862592212271,True,0.05
SPY260316C00652000,2026-03-10 19:54:05+00:00,652.0,26.88,27.87,28.38,6.289999,30.548803,516.0,512,0.319647916870117,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,28.125,0.509999999999998,0.018133333333333262,28.125,5,0.0136986301369863,0.9628163960126966,True,0.05
SPY260316C00656000,2026-03-09 19:20:27+00:00,656.0,22.0,24.26,24.83,0.0,0.0,25.0,14,0.3039620385742187,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,24.545,0.5699999999999967,0.023222652271338223,24.545,5,0.0136986301369863,0.9687232450679892,True,0.05
SPY260316C00659000,2026-03-10 19:22:44+00:00,659.0,21.27,21.7,22.3,-2.58,-10.81761,6.0,167,0.2946847875976562,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,22.0,0.6000000000000014,0.027272727272727337,22.0,5,0.0136986301369863,0.9731533818594587,True,0.05
SPY260316C00660000,2026-03-10 19:41:47+00:00,660.0,20.57,20.85,21.38,-1.9500008,-8.658973,84.0,697,0.2885813330078124,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,21.115000000000002,0.5299999999999976,0.025100639355908005,21.115000000000002,5,0.0136986301369863,0.9746300941232818,True,0.05
SPY260316C00661000,2026-03-10 19:37:21+00:00,661.0,19.51,20.05,20.43,-1.1700001,-5.6576405,27.0,511,0.2813182220458984,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,20.240000000000002,0.379999999999999,0.018774703557312204,20.240000000000002,5,0.0136986301369863,0.976106806387105,True,0.05
SPY260316C00662000,2026-03-10 18:26:15+00:00,662.0,18.6,19.22,19.6,3.8700008,26.272919,9.0,308,0.277778218383789,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,19.41,0.38000000000000256,0.019577537351880607,19.41,5,0.0136986301369863,0.9775835186509282,True,0.05
SPY260316C00663000,2026-03-10 19:56:06+00:00,663.0,17.42,18.39,18.76,-1.4899998,-7.8794274,21.0,519,0.2736278692626953,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,18.575000000000003,0.370000000000001,0.019919246298788745,18.575000000000003,5,0.0136986301369863,0.9790602309147514,True,0.05
SPY260316C00664000,2026-03-10 14:38:48+00:00,664.0,19.14,17.57,17.95,0.6099987,3.291952,8.0,509,0.2702099346923828,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,17.759999999999998,0.379999999999999,0.021396396396396344,17.759999999999998,5,0.0136986301369863,0.9805369431785744,True,0.05
SPY260316C00665000,2026-03-10 19:56:50+00:00,665.0,15.8,16.78,17.16,-1.7599993,-10.022775,45.0,605,0.2670361383056641,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,16.97,0.379999999999999,0.022392457277548558,16.97,5,0.0136986301369863,0.9820136554423976,True,0.05
SPY260316C00666000,2026-03-10 18:21:59+00:00,666.0,15.34,15.97,16.34,-2.459999,-13.82022,24.0,414,0.262702685546875,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,16.155,0.3699999999999992,0.02290312596719277,16.155,5,0.0136986301369863,0.9834903677062208,True,0.05
SPY260316C00667000,2026-03-10 19:32:55+00:00,667.0,14.81,15.18,15.56,-0.8199997,-5.2463193,47.0,521,0.2592237164306641,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,15.370000000000001,0.3800000000000008,0.02472348731294735,15.370000000000001,5,0.0136986301369863,0.984967079970044,True,0.05
SPY260316C00668000,2026-03-10 19:42:55+00:00,668.0,14.03,14.42,14.79,-0.8000002,-5.3944716,23.0,646,0.2557447473144532,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,14.605,0.3699999999999992,0.025333789798014324,14.605,5,0.0136986301369863,0.9864437922338671,True,0.05
SPY260316C00669000,2026-03-10 20:07:38+00:00,669.0,13.6,13.64,14.02,-0.8999996,-6.206894,39.0,564,0.2518995709228515,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,13.83,0.379999999999999,0.02747650036153283,13.83,5,0.0136986301369863,0.9879205044976902,True,0.05
SPY260316C00670000,2026-03-10 20:07:16+00:00,670.0,12.95,12.91,13.26,-0.19000053,-1.4459705,425.0,2236,0.2479933599853515,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,13.085,0.34999999999999964,0.026748184944593016,13.085,5,0.0136986301369863,0.9893972167615134,True,0.05
