contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,spotPrice,fetchTime,midPrice,spread,spreadPct,marketPrice,daysToExpiry,timeToExpiry,moneyness,isITM,riskFreeRate
SPY260316C00640000,2026-03-10 16:14:33+00:00,640.0,41.25,39.05,39.67,9.67,30.620646,12.0,16,0.4058400377595394,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,39.36,0.6200000000000045,0.0157520325203253,39.36,5,0.0136986301369863,0.9450958488468189,True,0.05
SPY260316C00645000,2026-03-10 16:42:59+00:00,645.0,37.31,34.34,34.92,13.590002,57.293434,49.0,50,0.3819324947503009,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,34.63,0.5799999999999983,0.0167484839734333,34.63,5,0.0136986301369863,0.9524794101659344,True,0.05
SPY260316C00649000,2026-03-06 20:48:33+00:00,649.0,28.4,30.57,31.15,0.0,0.0,12.0,14,0.3609981084678129,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,30.86,0.5799999999999983,0.018794556059624,30.86,5,0.0136986301369863,0.9583862592212272,True,0.05
SPY260316C00652000,2026-03-10 19:54:05+00:00,652.0,26.88,27.87,28.38,6.289999,30.548803,516.0,512,0.3484358767391782,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,28.125,0.509999999999998,0.0181333333333332,28.125,5,0.0136986301369863,0.9628163960126966,True,0.05
SPY260316C00656000,2026-03-09 19:20:27+00:00,656.0,22.0,24.26,24.83,0.0,0.0,25.0,14,0.3317020492321164,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,24.545,0.5699999999999967,0.0232226522713382,24.545,5,0.0136986301369863,0.9687232450679892,True,0.05
SPY260316C00659000,2026-03-10 19:22:44+00:00,659.0,21.27,21.7,22.3,-2.58,-10.81761,6.0,167,0.3225100675237295,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,22.0,0.6000000000000014,0.0272727272727273,22.0,5,0.0136986301369863,0.9731533818594588,True,0.05
SPY260316C00660000,2026-03-10 19:41:47+00:00,660.0,20.57,20.85,21.38,-1.9500008,-8.658973,84.0,697,0.31727357636733217,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,21.115,0.5299999999999976,0.025100639355908,21.115,5,0.0136986301369863,0.9746300941232818,True,0.05
SPY260316C00661000,2026-03-10 19:37:21+00:00,661.0,19.51,20.05,20.43,-1.1700001,-5.6576405,27.0,511,0.31218600742803676,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,20.24,0.379999999999999,0.0187747035573122,20.24,5,0.0136986301369863,0.976106806387105,True,0.05
SPY260316C00662000,2026-03-10 18:26:15+00:00,662.0,18.6,19.22,19.6,3.8700008,26.272919,9.0,308,0.3086021742212102,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,19.41,0.3800000000000025,0.0195775373518806,19.41,5,0.0136986301369863,0.9775835186509282,True,0.05
SPY260316C00663000,2026-03-10 19:56:06+00:00,663.0,17.42,18.39,18.76,-1.4899998,-7.8794274,21.0,519,0.30447535153717314,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,18.575000000000003,0.370000000000001,0.0199192462987887,18.575000000000003,5,0.0136986301369863,0.9790602309147514,True,0.05
SPY260316C00664000,2026-03-10 14:38:48+00:00,664.0,19.14,17.57,17.95,0.6099987,3.291952,8.0,509,0.3007651119150504,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,17.759999999999998,0.379999999999999,0.0213963963963963,17.759999999999998,5,0.0136986301369863,0.9805369431785744,True,0.05
SPY260316C00665000,2026-03-10 19:56:50+00:00,665.0,15.8,16.78,17.16,-1.7599993,-10.022775,45.0,605,0.2976101228253777,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,16.97,0.379999999999999,0.0223924572775485,16.97,5,0.0136986301369863,0.9820136554423976,True,0.05
SPY260316C00666000,2026-03-10 18:21:59+00:00,666.0,15.34,15.97,16.34,-2.459999,-13.82022,24.0,414,0.2931451143486143,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,16.155,0.3699999999999992,0.0229031259671927,16.155,5,0.0136986301369863,0.9834903677062208,True,0.05
SPY260316C00667000,2026-03-10 19:32:55+00:00,667.0,14.81,15.18,15.56,-0.8199997,-5.2463193,47.0,521,0.289379508866184,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,15.37,0.3800000000000008,0.0247234873129473,15.37,5,0.0136986301369863,0.984967079970044,True,0.05
SPY260316C00668000,2026-03-10 19:42:55+00:00,668.0,14.03,14.42,14.79,-0.8000002,-5.3944716,23.0,646,0.28590352113877177,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,14.605,0.3699999999999992,0.0253337897980143,14.605,5,0.0136986301369863,0.9864437922338672,True,0.05
SPY260316C00669000,2026-03-10 20:07:38+00:00,669.0,13.6,13.64,14.02,-0.8999996,-6.206894,39.0,564,0.2816499800544462,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,13.83,0.379999999999999,0.0274765003615328,13.83,5,0.0136986301369863,0.9879205044976902,True,0.05
SPY260316C00670000,2026-03-10 20:07:16+00:00,670.0,12.95,12.91,13.26,-0.19000053,-1.4459705,425.0,2236,0.27798505242920846,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,13.085,0.3499999999999996,0.026748184944593,13.085,5,0.0136986301369863,0.9893972167615134,True,0.05
SPY260316C00671000,2026-03-10 19:52:28+00:00,671.0,11.69,12.26,12.41,-1.4500008,-11.035013,134.0,671,0.2736919592954132,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,12.335,0.1500000000000003,0.0121605188488042,12.335,5,0.0136986301369863,0.9908739290253366,True,0.05
SPY260316C00672000,2026-03-10 20:09:57+00:00,672.0,11.36,11.54,11.69,-0.69000053,-5.7261453,200.0,505,0.26992224012707927,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,11.614999999999998,0.1500000000000003,0.012914334911752,11.614999999999998,5,0.0136986301369863,0.9923506412891596,True,0.05
SPY260316C00673000,2026-03-10 20:00:49+00:00,673.0,10.49,10.82,10.97,-0.8600006,-7.5770974,190.0,520,0.2656552053125864,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,10.895,0.1500000000000003,0.0137677833868747,10.895,5,0.0136986301369863,0.9938273535529828,True,0.05
SPY260316C00674000,2026-03-10 19:34:02+00:00,674.0,9.62,10.12,10.27,-0.8299999,-7.942583,324.0,636,0.2615237536336739,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,10.195,0.1500000000000003,0.0147130946542423,10.195,5,0.0136986301369863,0.995304065816806,True,0.05
SPY260316C00675000,2026-03-10 20:14:39+00:00,675.0,9.55,9.44,9.58,-0.92999935,-8.874041,1294.0,1564,0.25733604703735946,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,9.51,0.1400000000000005,0.0147213459516299,9.51,5,0.0136986301369863,0.9967807780806291,True,0.05
SPY260316C00676000,2026-03-10 20:03:25+00:00,676.0,8.38,8.77,8.92,-1.4799995,-15.010138,1067.0,1799,0.25322296059905663,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,8.844999999999999,0.1500000000000003,0.0169587337478802,8.844999999999999,5,0.0136986301369863,0.9982574903444524,True,0.05
SPY260316C00677000,2026-03-10 20:13:41+00:00,677.0,8.19,8.17,8.23,-0.3800001,-4.434074,1923.0,667,0.2491536029668917,True,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,8.2,0.0600000000000005,0.0073170731707317,8.2,5,0.0136986301369863,0.9997342026082756,True,0.05
SPY260316C00678000,2026-03-10 20:12:32+00:00,678.0,7.41,7.54,7.59,-0.7399998,-9.079752,1773.0,990,0.24478128949899977,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,7.565,0.0499999999999998,0.0066093853271645,7.565,5,0.0136986301369863,1.001210914872099,False,0.05
SPY260316C00679000,2026-03-10 20:14:51+00:00,679.0,6.98,6.92,6.98,-0.75999975,-9.8191185,2408.0,820,0.24039085207327893,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,6.95,0.0600000000000005,0.0086330935251799,6.95,5,0.0136986301369863,1.0026876271359215,False,0.05
SPY260316C00680000,2026-03-10 20:14:51+00:00,680.0,6.38,6.32,6.37,-0.5899997,-8.464846,4224.0,2413,0.235630202589587,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,6.345000000000001,0.0499999999999998,0.007880220646178,6.345000000000001,5,0.0136986301369863,1.004164339399745,False,0.05
SPY260316C00681000,2026-03-10 20:14:01+00:00,681.0,5.75,5.74,5.79,-0.4499998,-7.258062,2753.0,1125,0.23093729788980544,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,5.765000000000001,0.0499999999999998,0.0086730268863833,5.765000000000001,5,0.0136986301369863,1.005641051663568,False,0.05
SPY260316C00682000,2026-03-10 20:10:29+00:00,682.0,4.98,5.18,5.23,-0.8200002,-14.137933,3125.0,2053,0.22611342432291937,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,5.205,0.0500000000000007,0.0096061479346783,5.205,5,0.0136986301369863,1.0071177639273912,False,0.05
SPY260316C00683000,2026-03-10 20:06:44+00:00,683.0,4.54,4.64,4.69,-0.6300001,-12.185689,1357.0,1668,0.22111360425018206,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,4.665,0.0500000000000007,0.0107181136120044,4.665,5,0.0136986301369863,1.0085944761912145,False,0.05
SPY260316C00684000,2026-03-10 20:13:43+00:00,684.0,4.14,4.13,4.18,-0.77,-15.6822815,2761.0,1859,0.216223089593104,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,4.154999999999999,0.0499999999999998,0.0120336943441636,4.154999999999999,5,0.0136986301369863,1.0100711884550375,False,0.05
SPY260316C00685000,2026-03-10 20:13:43+00:00,685.0,3.64,3.64,3.69,-0.7099998,-16.321835,2846.0,7577,0.21106163141829729,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,3.665,0.0499999999999998,0.0136425648021827,3.665,5,0.0136986301369863,1.0115479007188608,False,0.05
SPY260316C00686000,2026-03-10 20:13:26+00:00,686.0,3.2,3.18,3.22,-0.51,-13.746631,1200.0,1903,0.20574016930825337,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,3.2,0.04,0.0125,3.2,5,0.0136986301369863,1.013024612982684,False,0.05
SPY260316C00687000,2026-03-10 20:14:55+00:00,687.0,2.78,2.74,2.79,-0.47000003,-14.461539,2021.0,1090,0.20038126798455858,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,2.765,0.0499999999999998,0.0180831826401446,2.765,5,0.0136986301369863,1.014501325246507,False,0.05
SPY260316C00688000,2026-03-10 20:11:17+00:00,688.0,2.26,2.35,2.39,-0.6600001,-22.602741,5581.0,1032,0.19532604678416995,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,2.37,0.04,0.0168776371308017,2.37,5,0.0136986301369863,1.0159780375103302,False,0.05
SPY260316C00689000,2026-03-10 20:01:06+00:00,689.0,1.94,1.97,2.01,-0.6799998,-25.954193,2071.0,751,0.1895509764780404,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,1.99,0.0399999999999998,0.0201005025125627,1.99,5,0.0136986301369863,1.0174547497741533,False,0.05
SPY260316C00690000,2026-03-10 20:14:48+00:00,690.0,1.68,1.63,1.67,-0.5000001,-22.935785,4396.0,2340,0.1839846738696552,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,1.65,0.04,0.0242424242424242,1.65,5,0.0136986301369863,1.0189314620379766,False,0.05
SPY260316C00691000,2026-03-10 20:14:30+00:00,691.0,1.37,1.33,1.37,-0.48000002,-25.945946,1283.0,933,0.17864836928373565,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,1.35,0.04,0.0296296296296296,1.35,5,0.0136986301369863,1.0204081743017996,False,0.05
SPY260316C00692000,2026-03-10 20:14:40+00:00,692.0,1.08,1.06,1.09,-0.49,-31.21019,2871.0,1185,0.17279939523629728,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,1.0750000000000002,0.03,0.027906976744186,1.0750000000000002,5,0.0136986301369863,1.0218848865656227,False,0.05
SPY260316C00693000,2026-03-10 20:08:52+00:00,693.0,0.81,0.82,0.85,-0.48999995,-37.692307,4369.0,1674,0.16686493770308505,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.835,0.03,0.0359281437125748,0.835,5,0.0136986301369863,1.023361598829446,False,0.05
SPY260316C00694000,2026-03-10 20:14:58+00:00,694.0,0.62,0.62,0.65,-0.38,-38.0,523.0,1135,0.16119888779850736,False,REGULAR,USD,call,2026-03-16,677.1799926757812,2026-03-10 19:29:04.738916,0.635,0.03,0.047244094488189,0.635,5,0.0136986301369863,1.024838311093269,False,0.05
